"","playerName","restrictedDuo"
"96","Michael Wong [US]","Calyrex [Ice Rider] Miraidon"
"97","Simon Van der Borght [BE]","Lunala Miraidon"
"98","Leonard Craft III [US]","Koraidon Miraidon"
"99","Ashton Cox [US]","Calyrex [Shadow Rider] Terapagos"
"100","Joshua Denk [US]","Calyrex [Shadow Rider] Zamazenta"
"101","Henry Rich [AU]","Giratina [Origin Forme] Kyogre"
"102","Nicolò Pollato [IT]","Calyrex [Shadow Rider] Terapagos"
"103","Ben Grissmer [US]","Calyrex [Shadow Rider] Terapagos"
"104","Cedric Bernier [US]","Calyrex [Ice Rider] Miraidon"
"105","Lorenzo Arce [US]","Calyrex [Ice Rider] Miraidon"
"106","Andrew Gouck [US]","Miraidon Zamazenta"
"107","Jeremy Boyd [US]","Calyrex [Ice Rider] Groudon"
"108","ALEX UNDERHILL [US]","Calyrex [Ice Rider] Miraidon"
"109","Kian Sayan [US]","Calyrex [Ice Rider] Kyogre"
"110","Emilio Forbes [US]","Miraidon Zacian"
"111","Santiago Molina [ES]","Calyrex [Ice Rider] Miraidon"
"112","Quentin Raines [US]","Calyrex [Shadow Rider] Koraidon"
"113","Jackson Ferris [US]","Kyogre Zamazenta"
"114","Matt Bruno [US]","Calyrex [Shadow Rider] Terapagos"
"115","Masahiro Ito [JP]","Calyrex [Shadow Rider] Miraidon"
"116","Keanu Inosanto [US]","Calyrex [Shadow Rider] Zamazenta"
"117","Kazuki Sumiya [JP]","Calyrex [Shadow Rider] Zamazenta"
"118","Richard Mogollon [US]","Calyrex [Shadow Rider] Zamazenta"
"119","Paul Ruiz [EC]","Calyrex [Shadow Rider] Koraidon"
"120","Justin Carris [US]","Calyrex [Shadow Rider] Zamazenta"
"121","mckenzie frosch [US]","Calyrex [Ice Rider] Miraidon"
"122","William Brown [US]","Calyrex [Ice Rider] Miraidon"
"123","David Ochoajr [US]","Groudon Miraidon"
"124","Noah Gardner [US]","Calyrex [Ice Rider] Groudon"
"125","Ryan Rickenbacher [US]","Miraidon Terapagos"
"126","Collin Heier [US]","Calyrex [Ice Rider] Miraidon"
"127","Emily Parson [US]","Calyrex [Shadow Rider] Zamazenta"
"128","Andrew Block [US]","Miraidon Zamazenta"
"129","Norah Bowman [US]","Kyogre Zamazenta"
"130","Matt Maynard [UK]","Calyrex [Shadow Rider] Zamazenta"
"131","Daniel Tapp [US]","Calyrex [Shadow Rider] Koraidon"
"132","Aaron Perez [US]","Calyrex [Shadow Rider] Terapagos"
"133","Stephen Schmidt [US]","Calyrex [Shadow Rider] Koraidon"
"134","Raphael Bagara [CA]","Kyogre Zacian"
"135","Karthik Bandagonda [US]","Calyrex [Ice Rider] Miraidon"
"136","Steven stewart [US]","Calyrex [Shadow Rider] Zamazenta"
"137","Daniel Alvarez [US]","Calyrex [Shadow Rider] Zamazenta"
"138","Ian Genis [US]","Calyrex [Shadow Rider] Zamazenta"
"139","Yoav Reuven [AU]","Calyrex [Shadow Rider] Koraidon"
"140","John Gonzales [US]","Calyrex [Shadow Rider] Kyogre"
"141","Michael Mills [US]","Calyrex [Shadow Rider] Koraidon"
"142","June Lintner [US]","Calyrex [Ice Rider] Miraidon"
"143","Chris Wolfe [US]","Calyrex [Shadow Rider] Terapagos"
"144","Timothy Hardin [US]","Calyrex [Shadow Rider] Koraidon"
"145","Everett Filloon [US]","Calyrex [Shadow Rider] Zamazenta"
"146","Juan José Mejia Tasayco [PE]","Calyrex [Shadow Rider] Koraidon"
"147","Shai Giuseppe Rabà [IT]","Calyrex [Shadow Rider] Zamazenta"
"148","David van Holland [NL]","Calyrex [Shadow Rider] Zamazenta"
"149","Benji Irons [US]","Calyrex [Ice Rider] Miraidon"
"150","Sahen Rai [US]","Calyrex [Shadow Rider] Zamazenta"
"151","Jared Richardson [US]","Calyrex [Ice Rider] Miraidon"
"152","Tatsuki Wakita [JP]","Calyrex [Shadow Rider] Zamazenta"
"153","Richard Macey [US]","Calyrex [Ice Rider] Miraidon"
"154","Simon Bernard [AT]","Miraidon Zamazenta"
"155","Kent Wong [US]","Calyrex [Ice Rider] Kyogre"
"156","Andrew Figueras [US]","Miraidon Zamazenta"
"157","Alex Ortega [US]","Calyrex [Shadow Rider] Miraidon"
"158","David Lees [US]","Calyrex [Shadow Rider] Koraidon"
"159","Kacey Boardman [US]","Kyogre Zamazenta"
"160","Luke Ruth [US]","Calyrex [Ice Rider] Koraidon"
"161","Hunter O'Brien-Grayson [US]","Calyrex [Ice Rider] Reshiram"
"162","Nicholas Morales [US]","Calyrex [Ice Rider] Miraidon"
"163","David Hutner [US]","Calyrex [Shadow Rider] Terapagos"
"164","Hayden Plog [US]","Miraidon Zamazenta"
"165","Ryan Loseto [CA]","Calyrex [Shadow Rider] Koraidon"
"166","Grant Bielecki [US]","Calyrex [Shadow Rider] Kyogre"
"167","Marlox Enriquez [US]","Kyogre Zacian"
"168","Javier Nain [CL]","Miraidon Terapagos"
"169","Eslliey Tan [US]","Calyrex [Shadow Rider] Zamazenta"
