"","playerName","restrictedDuo"
"421","Matthew Johnson [US]","Kyogre Solgaleo"
"422","Pranav Sharma [US]","Calyrex [Ice Rider] Kyogre"
"423","Thaison Hughes [US]","Calyrex [Ice Rider] Miraidon"
"424","Stephen Morioka [US]","Calyrex [Ice Rider] Miraidon"
"425","Logan Francesco [US]","Calyrex [Ice Rider] Miraidon"
"426","Chase Badish [US]","Calyrex [Shadow Rider] Koraidon"
"427","Zachary Spitzer [US]","Calyrex [Ice Rider] Miraidon"
"428","Jacob Waller [US]","Lunala Miraidon"
"429","Greyson Hammock [US]","Calyrex [Shadow Rider] Zamazenta"
"430","Daniel Franklin [US]","Calyrex [Shadow Rider] Zamazenta"
"431","Aria Black [US]","Koraidon Lunala"
"432","Jack Wright [US]","Ho-Oh Miraidon"
"433","Alex Marmon [US]","Calyrex [Shadow Rider] Terapagos"
"434","Eli Jaramillo [US]","Kyogre Zamazenta"
"435","Montana Mott [US]","Calyrex [Shadow Rider] Zamazenta"
"436","Jonny Davidson [US]","Calyrex [Ice Rider] Miraidon"
"437","Pavel Valencia-Acuna [MX]","Calyrex [Shadow Rider] Terapagos"
"438","George McMaster [US]","Calyrex [Shadow Rider] Koraidon"
"439","Daniel Marcelo Reyes [US]","Calyrex [Ice Rider] Miraidon"
"440","Enmanuel Zapata [US]","Groudon Lunala"
"441","Austin Swecker [US]","Calyrex [Ice Rider] Koraidon"
"442","Francisco Herrera [MX]","Calyrex [Ice Rider] Kyogre"
"443","Jered Hunn [US]","Calyrex [Ice Rider] Zamazenta"
"444","Jon VanRyckeghem [US]","Kyogre Zamazenta"
"445","Blake Falls [US]","Calyrex [Shadow Rider] Zacian"
"446","Shawn Coleman [US]","Groudon Terapagos"
"447","Kathryn Nowak [US]","Calyrex [Ice Rider] Kyogre"
"448","Alexander Poppema [US]","Calyrex [Shadow Rider] Koraidon"
"449","James Ieva [US]","Calyrex [Shadow Rider] Terapagos"
"450","Eric Tarlas [US]","Calyrex [Shadow Rider] Koraidon"
"451","Shawn Tang [SG]","Calyrex [Ice Rider] Miraidon"
"452","Matthew Cecil [US]","Calyrex [Shadow Rider] Zamazenta"
"453","Matthew Valle [US]","Calyrex [Ice Rider] Lunala"
"454","Alexander Phipps [US]","Calyrex [Ice Rider] Kyogre"
"455","Raul Pena [US]","Terapagos Zacian"
"456","Wyatt McDonald [US]","Miraidon Zamazenta"
"457","Logan Martinez [US]","Calyrex [Shadow Rider] Zamazenta"
"458","James Fos [US]","Calyrex [Shadow Rider] Koraidon"
"459","Gunwoo Lee [US]","Koraidon Lunala"
"460","Dylan Simmons [US]","Groudon Ho-Oh"
"461","Sergio Mojica [US]","Calyrex [Ice Rider] Miraidon"
"462","John Sorensen [US]","Calyrex [Shadow Rider] Zacian"
"463","Arthur Mosca [MX]","Calyrex [Shadow Rider] Zamazenta"
"464","Victoria Ly [CA]","Calyrex [Ice Rider] Necrozma [Dawn Wings]"
"465","Justin Miller [US]","Kyogre Miraidon"
"466","Ethan Jones [US]","Calyrex [Ice Rider] Miraidon"
"467","Francisco Alca Chacon [PE]","Miraidon Zamazenta"
"468","Abel Ewere [US]","Calyrex [Ice Rider] Miraidon"
"469","Kaleb Southerland [US]","Kyogre Zamazenta"
"470","Noah Singer [US]","Calyrex [Shadow Rider] Zamazenta"
"471","Ethan Vang [US]","Miraidon Zacian"
"472","Galo Orbea [EC]","Miraidon Terapagos"
"473","Austin Choi [US]","Calyrex [Ice Rider] Miraidon"
"474","Colton Davis [US]","Calyrex [Ice Rider] Miraidon"
"475","Michael Anzevino [US]","Lugia Zamazenta"
"476","Cody Hruby [US]","Calyrex [Shadow Rider] Koraidon"
"477","Louis Pierite [US]","Calyrex [Shadow Rider] Zamazenta"
"478","Cory Wilkinson [US]","Calyrex [Shadow Rider] Kyurem [White Kyurem]"
"479","Luis David Martínez Ramírez [MX]","Calyrex [Shadow Rider] Miraidon"
"480","Kyle Wilkinson [US]","Calyrex [Shadow Rider] Zamazenta"
"481","Enrique Grimaldo [US]","Calyrex [Ice Rider] Kyogre"
"482","Jeremy Gross [US]","Miraidon Terapagos"
"483","Joshua Wong [CA]","Calyrex [Shadow Rider] Terapagos"
"484","Andrew Navarro [US]","Miraidon Terapagos"
"485","Cole Cisakowski [US]","Calyrex [Ice Rider] Kyogre"
"486","Zach Holowiak [US]","Kyogre Zamazenta"
"487","Robin Lucas Bachofner [CH]","Calyrex [Shadow Rider] Lunala"
"488","Swaroop B [US]","Ho-Oh Miraidon"
"489","Alex Eley [US]","Kyogre Zamazenta"
"490","Kelsei Green [US]","Calyrex [Shadow Rider] Koraidon"
"491","Victor Delgado [US]","Calyrex [Shadow Rider] Koraidon"
"492","Alexavier Alvarez [US]","Calyrex [Shadow Rider] Zamazenta"
"493","Cole Nolan [US]","Calyrex [Shadow Rider] Zamazenta"
"494","Lance Tobey [US]","Calyrex [Shadow Rider] Koraidon"
"495","Eli Fruge [US]","Calyrex [Ice Rider] Miraidon"
"496","Keith Miller [US]","Kyogre Zacian"
"497","Alek May [US]","Kyogre Zacian"
"498","Brandon O'Donnell [US]","Calyrex [Shadow Rider] Koraidon"
"499","Alyse Johnson [US]","Terapagos Zamazenta"
"500","Logan Green [US]","Calyrex [Ice Rider] Miraidon"
"501","Adrian Heredia [US]","Kyogre Zacian"
"502","nicolas del campo [CL]","Calyrex [Ice Rider] Miraidon"
"503","Donghun Youm [US]","Miraidon Zamazenta"
"504","Austin Forcinito [US]","Calyrex [Shadow Rider] Terapagos"
"505","Andrew Perret [US]","Calyrex [Shadow Rider] Koraidon"
"506","Andy Hovis [US]","Calyrex [Shadow Rider] Zamazenta"
"507","Thomas Buddensick [US]","Calyrex [Ice Rider] Miraidon"
"508","Billy Helm [US]","Calyrex [Shadow Rider] Zamazenta"
"509","Zachary Hall [US]","Lunala Miraidon"
"510","Anthony Stephens [US]","Calyrex [Shadow Rider] Zamazenta"
"511","Taka Maenishi [JP]","Calyrex [Shadow Rider] Zamazenta"
"512","Arianna Deiro [IT]","Kyogre Zacian"
"513","Joey Woodring [US]","Kyogre Zamazenta"
"514","Satnam Benipal [US]","Calyrex [Shadow Rider] Zamazenta"
"515","Everett Perry [US]","Calyrex [Ice Rider] Miraidon"
"516","Alexander Schutte [US]","Calyrex [Ice Rider] Miraidon"
"517","Cody Smith [US]","Calyrex [Ice Rider] Miraidon"
"518","Cayden Owens [US]","Miraidon Terapagos"
"519","Andy Sheppard [US]","Ho-Oh Miraidon"
"520","Vincenzo Cicco [US]","Calyrex [Ice Rider] Miraidon"
"521","Matteo Lombardo [IT]","Lunala Miraidon"
"522","Younggyun Kim [KR]","Calyrex [Shadow Rider] Terapagos"
"523","Ian Lowther [US]","Calyrex [Ice Rider] Kyogre"
"524","Tyris McCormick [US]","Calyrex [Shadow Rider] Koraidon"
"525","Jetrick Gelacio [MX]","Calyrex [Shadow Rider] Kyogre"
"526","Will Adorno [US]","Calyrex [Ice Rider] Miraidon"
"527","Thomas Wagoner [US]","Kyogre Zacian"
"528","Mateo Vasic [US]","Ho-Oh Miraidon"
"529","Timothy Holden [US]","Miraidon Zamazenta"
"530","Micah Homick [US]","Lunala Miraidon"
"531","Ranieri Calderari [IT]","Calyrex [Shadow Rider] Zamazenta"
"532","Konrad Brunkhorst [US]","Calyrex [Ice Rider] Miraidon"
"533","Boston Elliott [US]","Groudon Miraidon"
"534","Jordan Wiseman [US]","Calyrex [Ice Rider] Miraidon"
"535","Felix Bougie [CA]","Calyrex [Shadow Rider] Rayquaza"
"536","Benjamin Harlan [US]","Calyrex [Ice Rider] Miraidon"
"537","Lorelei Hutchison [US]","Eternatus Kyogre"
"538","Dino Amendolaro [US]","Lunala Miraidon"
"539","Justin Won [US]","Calyrex [Ice Rider] Miraidon"
"540","Connor Smith [US]","Kyogre Zacian"
"541","Gina Garavalia [US]","Calyrex [Shadow Rider] Zamazenta"
"542","Omar Acuña Acevedo [CL]","Calyrex [Ice Rider] Miraidon"
"543","Jerrick Juanillo [US]","Calyrex [Ice Rider] Miraidon"
"544","Ellie Homen [US]","Calyrex [Ice Rider] Miraidon"
"545","Jamie Mancini [US]","Calyrex [Shadow Rider] Zamazenta"
"546","Anton Meßner [DE]","Calyrex [Shadow Rider] Terapagos"
"547","Matthew (Matti) Suarez [US]","Miraidon Zacian"
"548","Frank Kovacs [US]","Lunala Miraidon"
"549","Nolan Hedglin [US]","Calyrex [Shadow Rider] Koraidon"
"550","Stephen Palombo [US]","Calyrex [Shadow Rider] Koraidon"
"551","Hiram Espinosa [MX]","Calyrex [Shadow Rider] Koraidon"
"552","Tayson Jorgensen [US]","Calyrex [Ice Rider] Koraidon"
"553","Zachary Reif [US]","Calyrex [Shadow Rider] Koraidon"
"554","Jason Tang [US]","Calyrex [Shadow Rider] Koraidon"
"555","Tim Johnson [US]","Ho-Oh Miraidon"
"556","Patrick Cheng [CA]","Calyrex [Ice Rider] Lunala"
"557","Henry Ynoa [US]","Miraidon Zamazenta"
"558","Aidan Chapple [US]","Calyrex [Ice Rider] Miraidon"
"559","Kegan van Ginkel [US]","Koraidon Lunala"
"560","Luis Medina [US]","Calyrex [Shadow Rider] Terapagos"
"561","Abtin Ghaad Amini [NL]","Ho-Oh Koraidon"
"562","Jackson Comstock [US]","Calyrex [Ice Rider] Miraidon"
"563","Logan Mazur [US]","Calyrex [Shadow Rider] Terapagos"
"564","Skylar McCuistion [US]","Giratina [Origin Forme] Zamazenta"
"565","Micah Hays [US]","Calyrex [Ice Rider] Kyogre"
"566","Joshua Rivera [US]","Calyrex [Ice Rider] Miraidon"
"567","Micah Campbell [US]","Calyrex [Shadow Rider] Koraidon"
"568","Brady Ratzmann [US]","Calyrex [Shadow Rider] Terapagos"
"569","Surya Makthal [US]","Kyogre Zacian"
"570","Brent Caughey [US]","Calyrex [Ice Rider] Kyogre"
"571","Leonard Turney [US]","Miraidon Zacian"
"572","Elijah Coles [US]","Calyrex [Ice Rider] Miraidon"
"573","Kevin Bisping [US]","Koraidon Terapagos"
"574","Kevin Miller [US]","Miraidon Zamazenta"
"575","Tyler Martin [US]","Calyrex [Ice Rider] Miraidon"
"576","Andrew Kornfeld [US]","Miraidon Necrozma [Dusk Mane]"
"577","Ryan Nesmith [US]","Calyrex [Shadow Rider] Zamazenta"
"578","Andrew Nichols [US]","Calyrex [Shadow Rider] Kyogre"
"579","Kat Wible [US]","Calyrex [Ice Rider] Kyogre"
"580","Ben Wolf [US]","Lunala Miraidon"
"581","Adrian Connor [US]","Calyrex [Shadow Rider] Miraidon"
"582","Stefan Reginelli [US]","Lunala Miraidon"
"583","Vince Cantello [US]","Calyrex [Shadow Rider] Koraidon"
"584","Angel Requena [US]","Calyrex [Ice Rider] Miraidon"
"585","Xavier Ayala [US]","Calyrex [Shadow Rider] Terapagos"
"586","Zoe Lou [AU]","Calyrex [Ice Rider] Miraidon"
"587","Erick Gallegos [US]","Kyogre Miraidon"
"588","Taylor Sprouse [US]","Kyogre Zamazenta"
"589","Albert Larsen [US]","Calyrex [Shadow Rider] Koraidon"
"590","Chris Vroom [US]","Calyrex [Ice Rider] Kyogre"
"591","Julian Hernandez-Perocier [US]","Kyogre Zacian"
"592","Jake Erickson [US]","Calyrex [Shadow Rider] Koraidon"
"593","Joshua Albarran [US]","Calyrex [Ice Rider] Miraidon"
"594","Muhammad Yusuf [US]","Calyrex [Ice Rider] Kyogre"
"595","Colby Parker [US]","Kyogre Zamazenta"
"596","Júlio Eller [BR]","Calyrex [Shadow Rider] Koraidon"
"597","Piero Ochoa [US]","Calyrex [Shadow Rider] Koraidon"
"598","Paro Sen [US]","Calyrex [Ice Rider] Koraidon"
"599","Alvin Mo [US]","Kyogre Palkia [Origin Forme]"
"600","Brandon Davis [US]","Calyrex [Ice Rider] Lunala"
"601","Andrew Johnson [US]","Groudon Miraidon"
"602","Brendan Przywara [US]","Ho-Oh Koraidon"
"603","Darren Brown [US]","Calyrex [Shadow Rider] Koraidon"
"604","Bernard Herron [US]","Calyrex [Shadow Rider] Koraidon"
"605","Declan Lomboy [US]","Ho-Oh Miraidon"
"606","Amber Elinsky [US]","Kyogre Zamazenta"
"607","John Stephenson [US]","Calyrex [Shadow Rider] Koraidon"
"608","Tariq Woods [US]","Calyrex [Shadow Rider] Koraidon"
"609","Dominic DaSilva [US]","Kyogre Zacian"
"610","Jack Mountain [US]","Kyogre Zacian"
"611","Cody Sharp [US]","Koraidon Zamazenta"
"612","Deidre Rodriguez [US]","Calyrex [Shadow Rider] Zamazenta"
"613","Lindsey Miles [US]","Calyrex [Ice Rider] Miraidon"
"614","Liz Gutierrez [US]","Calyrex [Ice Rider] Lunala"
"615","Landon Story [US]","Kyogre Zacian"
"616","Riley Loster [US]","Calyrex [Ice Rider] Miraidon"
"617","Miguel Zurita [US]","Calyrex [Ice Rider] Miraidon"
"618","Caleb Hubka [US]","Groudon Miraidon"
"619","Tyler Crafts [US]","Calyrex [Shadow Rider] Zamazenta"
"620","Isaac Edmond [US]","Calyrex [Shadow Rider] Koraidon"
"621","David Ochoa [US]","Groudon Miraidon"
"622","Richard Salazar [US]","Calyrex [Ice Rider] Miraidon"
"623","Luke Bowar [US]","Calyrex [Ice Rider] Lunala"
"624","John Masters [US]","Calyrex [Ice Rider] Lunala"
"625","Cody Mullis [US]","Calyrex [Ice Rider] Miraidon"
"626","Sanjeev Anand [US]","Calyrex [Ice Rider] Miraidon"
"627","Zachary White [US]","Miraidon Zamazenta"
"628","Christopher Cech [US]","Calyrex [Shadow Rider] Zamazenta"
"629","Juan Vildósola [MX]","Calyrex [Ice Rider] Reshiram"
"630","Christian Adams [US]","Calyrex [Ice Rider] Miraidon"
"631","Jules Gallo [US]","Koraidon Lunala"
"632","Carlos Gallegos [US]","Calyrex [Shadow Rider] Koraidon"
"633","Alex High [US]","Koraidon Lunala"
"634","Joshua Robinson [US]","Calyrex [Ice Rider] Terapagos"
"635","Christopher Saint-Germain [US]","Calyrex [Ice Rider] Zacian"
"636","Joshua Jones [US]","Calyrex [Shadow Rider] Koraidon"
"637","Alberto Lara [US]","Calyrex [Ice Rider] Miraidon"
"638","Ofomezie Emelle [US]","Calyrex [Ice Rider] Miraidon"
"639","Braden Clemens [CA]","Calyrex [Shadow Rider] Terapagos"
"640","Tanner Mask [US]","Calyrex [Ice Rider] Miraidon"
"641","Meg Walls [US]","Calyrex [Ice Rider] Miraidon"
"642","Michael Arand [US]","Calyrex [Shadow Rider] Zamazenta"
"643","Anthony Londergan [US]","Calyrex [Ice Rider] Kyogre"
"644","Marcos Perez [US]","Calyrex [Ice Rider] Miraidon"
"645","Anthony Nevarez [US]","Calyrex [Ice Rider] Miraidon"
"646","Rob McNeilly [US]","Calyrex [Shadow Rider] Zamazenta"
"647","Ian Pummell [US]","Calyrex [Shadow Rider] Rayquaza"
"648","Diego Chan [US]","Calyrex [Ice Rider] Miraidon"
"649","Oscar Torres [US]","Calyrex [Shadow Rider] Zamazenta"
"650","Chengyu Wang [CN]","Lunala Miraidon"
"651","Samuel Wakeman [US]","Groudon Miraidon"
"652","Jairo Contreras [US]","Calyrex [Shadow Rider] Zamazenta"
"653","Adrian Gongora [US]","Giratina [Origin Forme] Zamazenta"
"654","Noah Smith [US]","Koraidon Lunala"
"655","Kimo Nishimura [US]","Calyrex [Ice Rider] Miraidon"
"656","Rafael Gonzalez [GT]","Lunala Miraidon"
"657","Nader El bacha [BR]","Calyrex [Ice Rider] Miraidon"
"658","Ian Holdeman [US]","Calyrex [Ice Rider] Kyogre"
"659","Max Silinskas [US]","Lunala Miraidon"
"660","Hector Vargas [US]","Calyrex [Shadow Rider] Terapagos"
"661","Chad Hewitt [US]","Miraidon Zamazenta"
"662","Cordel Michel [US]","Calyrex [Ice Rider] Kyogre"
"663","Melody Ash [US]","Miraidon Zacian"
"664","Kamaal Harris [US]","Calyrex [Ice Rider] Kyogre"
"665","Padrick Moran [US]","Koraidon Lunala"
"666","Michael Lohr [US]","Calyrex [Shadow Rider] Zamazenta"
"667","David Acevedo [US]","Calyrex [Ice Rider] Miraidon"
"668","Luis Mendez [US]","Calyrex [Ice Rider] Miraidon"
"669","Rowan Hall [US]","Miraidon Zamazenta"
"670","Vincent Espino [US]","Calyrex [Ice Rider] Kyogre"
"671","Michael Alfinito [US]","Calyrex [Shadow Rider] Zamazenta"
"672","Nathan Potter [US]","Calyrex [Shadow Rider] Zamazenta"
"673","Thomas Park [US]","Calyrex [Shadow Rider] Zamazenta"
"674","William McMillan [US]","Calyrex [Shadow Rider] Kyogre"
"675","Alexis Esparza [US]","Calyrex [Ice Rider] Miraidon"
"676","Walter Morales [US]","Miraidon Zamazenta"
"677","Sean Binek [US]","Miraidon Zamazenta"
"678","Jacob Bleacher [US]","Calyrex [Ice Rider] Miraidon"
"679","Kyle Hooter [US]","Lunala Miraidon"
"680","Adit Selvaraj [US]","Calyrex [Shadow Rider] Zamazenta"
"681","Nick Harper [US]","Lunala Miraidon"
"682","Aaron Medina [US]","Lunala Miraidon"
"683","Gwenn Cox [US]","Calyrex [Shadow Rider] Terapagos"
"684","Tanner Nelson [US]","Calyrex [Ice Rider] Miraidon"
"685","Giovanni Aranibar [BO]","Lunala Miraidon"
"686","Adam Warren [US]","Calyrex [Shadow Rider] Terapagos"
"687","Colby Tuttle [US]","Calyrex [Shadow Rider] Zamazenta"
"688","Brian Collins [US]","Calyrex [Shadow Rider] Terapagos"
"689","Patrick Minchey [US]","Kyogre Miraidon"
"690","David Santana [US]","Calyrex [Ice Rider] Miraidon"
"691","Chris D'Entremont [US]","Miraidon Zacian"
"692","Kenneth Stevens Jr [US]","Calyrex [Ice Rider] Kyogre"
"693","Andrew Wilson [US]","Calyrex [Ice Rider] Miraidon"
"694","Cruz Montano Valdez [US]","Ho-Oh Miraidon"
"695","Kevin Hankins [US]","Calyrex [Shadow Rider] Miraidon"
"696","Joe Puhr [US]","Calyrex [Ice Rider] Miraidon"
"697","Austin Frank [US]","Calyrex [Ice Rider] Kyogre"
"698","Taran Birdee [UK]","Miraidon Zamazenta"
"699","Dillon Clark [US]","Calyrex [Shadow Rider] Miraidon"
"700","Kevin Guzman [US]","Lunala Zamazenta"
"701","Joshua VanValkenburgh [US]","Lunala Miraidon"
"702","Kazuki Kanehira [US]","Calyrex [Ice Rider] Miraidon"
"703","Enrique Ruisanchez [US]","Calyrex [Ice Rider] Miraidon"
"704","Seabass McChops [US]","Kyogre Zacian"
"705","Alex Qian [US]","Eternatus Terapagos"
"706","Zachary Carlson [US]","Calyrex [Shadow Rider] Zamazenta"
"707","Jonathan Marshall [US]","Giratina [Origin Forme] Miraidon"
"708","Ale Piscitelli [CA]","Kyogre Zacian"
"709","Jason Roush [US]","Groudon Miraidon"
"710","Yan Yuen [US]","Calyrex [Ice Rider] Miraidon"
"711","AC Williams [US]","Calyrex [Ice Rider] Miraidon"
"712","David Thompson [US]","Miraidon Zacian"
"713","John Grossi [US]","Koraidon Lunala"
"714","Fletcher Dean [US]","Miraidon Zacian"
"715","Tristen Nelms [US]","Calyrex [Shadow Rider] Koraidon"
"716","Leigh Huckabee [US]","Calyrex [Shadow Rider] Miraidon"
"717","Audric David [FR]","Lunala Miraidon"
"718","Adam Head [US]","Calyrex [Ice Rider] Miraidon"
"719","Tyler Hanan [US]","Ho-Oh Koraidon"
"720","Edgar Abundes [US]","Lunala Miraidon"
"721","Brian Franco [US]","Koraidon Lunala"
"722","Sam Eddy Kelly [US]","Calyrex [Ice Rider] Kyogre"
"723","Rudy Cantu [US]","Calyrex [Ice Rider] Miraidon"
"724","Olivia Schemmel [US]","Groudon Ho-Oh"
"725","Michael Maus [US]","Lunala Miraidon"
"726","Kristopher Horsey [US]","Calyrex [Shadow Rider] Miraidon"
"727","Michael Meza [US]","Lunala Miraidon"
"728","Joseph DeRogatis [US]","Calyrex [Shadow Rider] Koraidon"
"729","O'Bryant Vinson [US]","Calyrex [Shadow Rider] Zacian"
"730","Ben Larson [US]","Lunala Miraidon"
"731","Jared Ramos [US]","Miraidon Terapagos"
"732","Luke Rollins [US]","Calyrex [Shadow Rider] Zamazenta"
"733","Eric Bartlett [US]","Calyrex [Ice Rider] Miraidon"
"734","Chalkey Horenstein [US]","Calyrex [Ice Rider] Miraidon"
"735","Rajan Bal [US]","Miraidon Terapagos"
"736","Eric Stuart [US]","Calyrex [Shadow Rider] Zamazenta"
"737","Bryce Hosaflook [US]","Calyrex [Shadow Rider] Koraidon"
"738","Robert Whalen [US]","Kyogre Zacian"
"739","Aaron-Lee Cole [AU]","Calyrex [Shadow Rider] Zamazenta"
"740","Hayley Aldworth [US]","Calyrex [Shadow Rider] Groudon"
"741","Christian Hoffman [US]","Calyrex [Ice Rider] Miraidon"
"742","Joaquin Mosre [US]","Koraidon Lunala"
"743","Jacob Bearden [US]","Calyrex [Shadow Rider] Koraidon"
"744","Ryan Spitzer [US]","Calyrex [Ice Rider] Koraidon"
"745","Steven Peek [US]","Lunala Miraidon"
"746","Torey Powers [US]","Kyogre Zacian"
"747","Joshua Rebatta [US]","Calyrex [Shadow Rider] Koraidon"
"748","Benjamin Brickeen [US]","Koraidon Miraidon"
"749","Andrew Rocha [US]","Calyrex [Shadow Rider] Miraidon"
"750","Jaquincy Nelson [US]","Dialga [Origin Forme] Miraidon"
"751","Madison Kennedy [US]","Koraidon Lunala"
"752","Jacob O'Connor [US]","Ho-Oh Miraidon"
"753","Reid Goodrich [US]","Calyrex [Shadow Rider] Zamazenta"
"754","Bill O'Connell [US]","Calyrex [Ice Rider] Miraidon"
"755","Angel Armando Arriaga Trevino [MX]","Kyogre Zacian"
"756","Aidan Patterson [US]","Lunala Miraidon"
"757","Carl Wilken [US]","Calyrex [Ice Rider] Miraidon"
"758","Elijah Smith [US]","Ho-Oh Lunala"
"759","Jeremy Chestnutt [US]","Lunala Miraidon"
"760","Celeste Scalzo [US]","Calyrex [Ice Rider] Miraidon"
"761","Vaughn Taylor [US]","Lunala Zamazenta"
"762","Sierra Dawn [CA]","Calyrex [Ice Rider] Miraidon"
"763","Kailey Hart [US]","Calyrex [Ice Rider] Miraidon"
"764","Nick Smith [US]","Calyrex [Ice Rider] Miraidon"
"765","Carden Shelly [US]","Miraidon Zacian"
"766","Alexander Reyes [US]","Calyrex [Shadow Rider] Zamazenta"
"767","Aaron Tunstall [US]","Calyrex [Shadow Rider] Koraidon"
"768","Jarvis Marcano [US]","Calyrex [Shadow Rider] Zamazenta"
"769","Michael Holloway [US]","Koraidon Miraidon"
"770","Jeffery Short [US]","Kyogre Zacian"
"771","Lucas Johnston [US]","Koraidon Lunala"
"772","David Harupa [US]","Calyrex [Shadow Rider] Zamazenta"
"773","Andrew Beltran [US]","Groudon Lunala"
"774","Christopher Patino [US]","Calyrex [Shadow Rider] Zacian"
"775","Matthew Starzyk [US]","Calyrex [Shadow Rider] Miraidon"
"776","Kyle Moore [US]","Calyrex [Shadow Rider] Koraidon"
"777","Daniel Ricano [US]","Calyrex [Ice Rider] Miraidon"
"778","Sarah Sparks [US]","Calyrex [Ice Rider] Kyogre"
"779","Liam Tallo [US]","Calyrex [Ice Rider] Miraidon"
"780","Nicolas Spencer [US]","Koraidon Lunala"
"781","Heather Pohnan [US]","Calyrex [Ice Rider] Miraidon"
"782","Armando Gutierrez [US]","Calyrex [Ice Rider] Miraidon"
"783","Daniel Schiabor [US]","Ho-Oh Miraidon"
"784","Timothy Nixon [US]","Koraidon Lunala"
"785","Trent Zagursky [US]","Groudon Koraidon"
"786","Will Wetzel [US]","Calyrex [Shadow Rider] Kyogre"
"787","Joel Hernandez [US]","Kyogre Zacian"
"788","Omar Farfan [US]","Calyrex [Ice Rider] Kyogre"
"789","Michael Cruz [US]","Calyrex [Ice Rider] Miraidon"
"790","",""
"791","Aaron Allen [US]","Calyrex [Ice Rider] Miraidon"
"792","Maximilian Klaus [US]","Calyrex [Ice Rider] Miraidon"
"793","James Lim [US]","Kyogre Miraidon"
"794","Adrian Hazel [US]","Kyogre Zacian"
"795","Nitesh Manem [US]","Calyrex [Ice Rider] Kyogre"
"796","Steven Stark [US]","Calyrex [Ice Rider] Miraidon"
"797","Madison Morrell [US]","Miraidon Zamazenta"
"798","Daniel Medina [US]","Miraidon Zacian"
"799","Nathaniel Perry [US]","Miraidon Zamazenta"
"800","William Jewell [US]","Calyrex [Ice Rider] Kyogre"
"801","Vijay Sood [US]","Terapagos Zacian"
"802","Chance DuBose [US]","Miraidon Terapagos"
"803","Joshua Stevens [US]","Calyrex [Ice Rider] Kyogre"
"804","Mitchell Fleming [US]","Calyrex [Shadow Rider] Koraidon"
"805","Matthew Molnar [US]","Calyrex [Shadow Rider] Kyogre"
"806","Matthew Davis [US]","Calyrex [Shadow Rider] Kyogre"
"807","Colby Harrison [US]","Koraidon Lunala"
"808","Xavier Ibarra [US]","Ho-Oh Miraidon"
"809","Santiago Salazar-Guerra [VE]","Lunala Miraidon"
"810","Dylan Stone [US]","Calyrex [Ice Rider] Miraidon"
"811","Hugo Alberto Castillo Sánchez [MX]","Calyrex [Ice Rider] Miraidon"
"812","Roland Barbaza [US]","Koraidon Zamazenta"
"813","Andrew Larsen [US]","Calyrex [Shadow Rider] Zamazenta"
"814","Michaela Edwards [US]","Calyrex [Ice Rider] Miraidon"
"815","Marcus Fussell [US]","Groudon Miraidon"
"816","Yohance Williams [US]","Calyrex [Shadow Rider] Koraidon"
"817","Jayson Kelley [US]","Calyrex [Shadow Rider] Zamazenta"
"818","Will Ross [US]","Calyrex [Ice Rider] Miraidon"
"819","Douglas Whitney [US]","Calyrex [Shadow Rider] Zamazenta"
"820","Samantha Smith [US]","Lunala Miraidon"
"821","Alexander Bambico [US]","Calyrex [Ice Rider] Miraidon"
"822","Jeb Goodwin [US]","Calyrex [Shadow Rider] Koraidon"
"823","Julio Guzman [US]","Ho-Oh Miraidon"
"824","William Krayer [US]","Calyrex [Ice Rider] Eternatus"
"825","Daniel Leon [CO]","Koraidon Miraidon"
"826","Jordan Hennix [US]","Calyrex [Ice Rider] Miraidon"
"827","Trey Jackson [US]","Calyrex [Shadow Rider] Miraidon"
"828","Martin Villegas [US]","Calyrex [Shadow Rider] Koraidon"
"829","Cedric Jones [US]","Calyrex [Ice Rider] Miraidon"
"830","Arthur Givens [US]","Calyrex [Ice Rider] Miraidon"
"831","Clay Becker [US]","Calyrex [Shadow Rider] Miraidon"
"832","James Scott [US]","Groudon Miraidon"
"833","Matt Schmucker [US]","Ho-Oh Koraidon"
"834","Dylan Salter [US]","Ho-Oh Miraidon"
"835","Brian Pattison [US]","Calyrex [Ice Rider] Kyogre"
"836","Ricky Keller [US]","Calyrex [Shadow Rider] Koraidon"
"837","Gabriel Ortiz [US]","Koraidon Terapagos"
"838","Parker Simmons [US]","Calyrex [Ice Rider] Miraidon"
"839","Benjamin Dyer [US]","Groudon Lunala"
"840","Rachel Lambert [US]","Miraidon Zamazenta"
"841","Felix De La Riva [US]","Calyrex [Ice Rider] Miraidon"
"842","Chase Frye [US]","Calyrex [Shadow Rider] Groudon"
"843","Sean Silberer [CA]","Calyrex [Shadow Rider] Koraidon"
"844","Jason Pham [US]","Kyogre Miraidon"
"845","",""
"846","Ian McLaughlin [US]","Koraidon Miraidon"
"847","Dylan Rutledge [US]","Lunala Miraidon"
"848","Patrick Donegan [US]","Calyrex [Ice Rider] Lunala"
"849","Cory Craven [US]","Groudon Lunala"
"850","Jonathan Lin [US]","Calyrex [Shadow Rider] Kyogre"
"851","Collin Beer [US]","Groudon Miraidon"
"852","Dalton Hale [US]","Kyogre Zacian"
"853","Thomas Vehlewald [US]","Groudon Zacian"
"854","Branden Wilhelm [US]","Miraidon Zamazenta"
"855","Jourdan Harris [US]","Calyrex [Ice Rider] Koraidon"
